報單號碼	項次	貨號/條碼	貨物名稱	稅則號列	許可證號碼	生產國別	申報注意事項
AA/13/441/G2099	11	4.55048E+12	Bucket with Lid -1.98gal - 7.5L - Black- Polypropylene Cold HeatResistant Temperature -20120 -4F248F 附蓋水桶【7.5L】 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	12	4.55048E+12	Manga Display Shelf Polystyrene 漫畫陳列架 --------------------------------------------------------------------------------------------------	3926.10.00.00-3	CI999999999999	THAILAND TH	一般查驗 (General Inspection)
AA/13/441/G2099	13	4.55048E+12	Hanging Refrigerator Storage Case -For Eggs- Case:Polypropylene Top plate :Polystyrene Suspenser:ABS resin Suction cup:Polyvinyl chloride 冰箱夾式抽屜雞蛋收納盒 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	14	4.55048E+12	Stock Box -2- W6.69in x D6.10in x H5.90in - 17.0cm x 15.5cm x 15.0c m- Moss Green- Polypropylene 手提收納盒 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	15	4.55048E+12	Stackable Container -W8.03in x D4.72in x H4.21in - 20.4cm x12.0cm x 10.7cm-Moss Green- Polypropylene 堆疊式收納籃 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	16	4.55048E+12	Eco-friendly Mesh Tray -B5 - White- Polypropylene 收納籃【B5】 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	17	4.55048E+12	Eco-friendly Basket-A4 - Wide - White- Polypropylene Calcium carbonate 收納籃【A4】 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	18	4.55048E+12	Eco-friendly Basket -A - White- Polypropylene Calcium carbonate 手提收納籃 項 次	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	19	4.55048E+12	Eco-friendly Accessory Basket - W5.90in x D11.92in x H5.19in - 15cm x 30.3cm x 13.2cm - White- Polypropylene Calcium carbonate 收納籃 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	20	4.55048E+12	Recycled PP Front Opening File Box -W8 - For A4- Polypropylene 文件架【A4】 --------------------------------------------------------------------------------------------------	3926.10.00.00-3	CI999999999999	THAILAND TH	一般查驗 (General Inspection)
AA/13/441/G2099	21	4.55048E+12	"Vegetable Strainer -White- Polypropylene 蔬菜脫水籃【18.3×18.3×16cm】 聚丙烯【耐熱溫度120℃】 (供食品用途,批號:0111CE) BRAND:DAISO MODEL NO.1 --------------------------------------------------------------------------------------------------"	3924.10.00.90-6	IFB13PK0744608	THAILAND TH	食品容器 (Food Contact) - 需檢驗；塑膠/美耐皿檢驗
AA/13/441/G2099	22	4.55048E+12	Display Stand Polystyrene 展 示書架 --------------------------------------------------------------------------------------------------	3926.10.00.00-3	CI999999999999	THAILAND TH	一般查驗 (General Inspection)
AA/13/441/G2099	23	4.55048E+12	"Rice Storage Container - 6.61lb - 3kg - With Measuring Cup- Body：Polypropylene Lid：Polypropylene Cup：Polypropylene 儲米箱 【容器3.7L、量杯7.7×5cm】 本體、上蓋、量杯－聚丙烯 【耐熱溫度120℃】 (供食品用途,批號:0111CE) BRAND:DAISO MODEL NO.1 --------------------------------------------------------------------------------------------------"	3924.10.00.90-6	IFB13PK0744700	THAILAND TH	食品容器 (Food Contact) - 需檢驗；塑膠/美耐皿檢驗
AA/13/441/G2099	24	4.98436E+12	Book Stand 2Rows-D15.8cmx W20.8cmxH17cm-6.2inx8.2in x6.7in- Polystyrene 書擋 --------------------------------------------------------------------------------------------------	3926.10.00.00-3	CI999999999999	THAILAND TH	一般查驗 (General Inspection)
AA/13/441/G2099	25	4.98436E+12	Stacking storage rack A4 size 13.8x10.2x2.4 inch Polypropylene 文件收納盤【A4】 項 次	3926.10.00.00-3	CI999999999999	THAILAND TH	一般查驗 (General Inspection)
AA/13/441/G2099	26	4.98436E+12	Book Stand -D26cm x W21cm x H18cm -10.2in x 8.3in x 7.1in - Polystyrene 書擋 --------------------------------------------------------------------------------------------------	3926.10.00.00-3	CI999999999999	THAILAND TH	一般查驗 (General Inspection)
AA/13/441/G2099	27	4.98436E+12	Box with handle 3 with tray 6.9x5x3.3 inch Polypropylene 工具盒 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	28	4.98436E+12	Dish stand 4.7x9.3x5.2inch Polypropylene 盤子收納架 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	29	4.98436E+12	first aid kit 7.1x5.2x4.7 inch - Polypropylene 急救箱 ------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
